Id,Title,Location,PriceEuro,PriceKuna,Area,CijenaKvadratEuro,CijenaKvadratKuna,Posted,Link,Photo
56,"Najam, stan, Velika Mlaka ( Velika Gorica ), 65 m2, 3sp",Zagrebačka,466,3503,65,7,53,Objava  21.12.2021.,https://www.index.hr/oglasi/najam-stan-velika-mlaka-velika-gorica-65-m2-3sp/oid/2976960,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//6//23/2976960/VelikaMlaka-stan-najam-apartment-rent-135-230620211430312226.JPG?preset=oglas-slika-view
58,Stan Varaždin Braće Radića 134,Varaždinska,400,3007,40,10,75,Objava  21.12.2021.,https://www.index.hr/oglasi/stan-varazdin-brace-radica-134/oid/3246052,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3246052/1635185627610-211220211443315924.jpg?preset=oglas-slika-view
59,Stan Zadar Bili brig,Zadarska,373,2800,55,6,50,Objava  21.12.2021.,https://www.index.hr/oglasi/stan-zadar-bili-brig/oid/3246022,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3246022/20211221102456-211220211409345235.jpg?preset=oglas-slika-view
60,Presladak stan sa terasom i garažom na Ravnicama dostupan od 1.1.2022.,Grad Zagreb,450,3380,45,10,75,Objava  21.12.2021.,https://www.index.hr/oglasi/presladak-stan-sa-terasom-i-garazom-na-ravnicama-dostupan-od-1-1-2022/oid/3245894,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3245894/1-211220211204049956.jpg?preset=oglas-slika-view
61,POTPUNO NAMJEŠTEN STAN NA RAVNICAMA 5 MIN. HODA OD MAKSIMIRA!!!,Grad Zagreb,450,3380,45,10,75,Objava  21.12.2021.,https://www.index.hr/oglasi/potpuno-namjesten-stan-na-ravnicama-5-min-hoda-od-maksimira/oid/3245889,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3245889/stn201-1-211220211159493101.jpg?preset=oglas-slika-view
62,"Dvosobni stan 1s+db, potpuno opremljen, top lokacija - Cvjetno naselje",Grad Zagreb,559,4200,53,10,79,Objava  21.12.2021.,https://www.index.hr/oglasi/dvosobni-stan-1s-db-potpuno-opremljen-top-lokacija-cvjetno-naselje/oid/3245827,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3245827/1-351599392.jpg?preset=oglas-slika-view
63,Stan Osijek Donji grad,Osječko-baranjska,333,2500,38,8,65,Objava  21.12.2021.,https://www.index.hr/oglasi/stan-osijek-donji-grad/oid/3245716,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3245716/4BF78429-7E5D-41CF-86C3-DD27C3EC0C3B-211220210927565006.jpeg?preset=oglas-slika-view
64,"Strogi centar, jednosoban stan, 35m2",Grad Zagreb,333,2500,35,9,71,Objava  21.12.2021.,https://www.index.hr/oglasi/strogi-centar-jednosoban-stan-35m2/oid/3245702,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3245702/5349ad6fc4fd3c011ba74025076aac2c10c27b0a3-GalleryFullscreen-211220210921479552.jpg?preset=oglas-slika-view
65,Stan Trnje Cvjetno naselje,Grad Zagreb,266,2000,43,6,46,Objava  21.12.2021.,https://www.index.hr/oglasi/stan-trnje-cvjetno-naselje/oid/3245626,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3245626/20211219151039-211220210720144258.jpg?preset=oglas-slika-view
66,"TRSTENIK, TROSOBAN STAN, DUGOROČNO",Splitsko-dalmatinska,1400,10524,125,11,84,Objava  21.12.2021.,https://www.index.hr/oglasi/trstenik--trosoban-stan--dugorocno/oid/3245605,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21///3245605/112-rent_20211221014113054_0_.jpg?preset=oglas-slika-view
